ticker,category,selected,rest
MM Globalis,Travel,0.02712,0.01973
BodyBell,Fitness,0.02642,0.02839
Mad Cool Festival,Events,0.01058,0.00421
Museo Guggenheim,Attractions,0.00224,0.00151
Booking.com,Travel,0.22190,0.21744
Aristocrazy,Apparel,0.01284,0.00713
Purificacion Garcia,Fashion,0.00714,0.00558
Rodilla,Retail Stores,0.01802,0.01346
Tous,Jewelry,0.04056,0.03919
La Maquina de Chamberi,Restaurant,0.00450,0.00220
Expedia.es,Travel,0.03402,0.03357
Oney Servicios Financieros,Financial Services,0.24424,0.40113
Pc Box,Electronics,0.00719,0.00699
Worten,Electronics,0.07869,0.08253
NH Collection,Travel,0.01070,0.00558
Sabadell Consumer Finance,Financial Services,0.19656,0.25674
Fifty Factory,Apparel,0.02042,0.03130
Canal Isabel II,Utilities,0.21556,0.21337
Amazon Prime,Subscription Services,0.14846,0.12875
Costco,Grocery,0.16151,0.11309
Cash Lepe,Financial Services,0.01836,0.02443
Amichi,Apparel,0.00556,0.00562
Esclat,Grocery,0.12466,0.08485
JCA Cinemes,Movies,0.00227,0.00116
Ausol,Transportation,0.01629,0.01292
Dia,Grocery,0.66793,0.76778
Uber Eats,Delivery,0.01940,0.01613
Gambrinus,Restaurant,0.00614,0.00612
Tarjeta Inditex,Loyalty,0.10694,0.08990
Lola Rey,Apparel,0.00350,0.00417
Bijou Brigitte,Jewelry,0.00834,0.00923
Mega Calzado,Apparel,0.00519,0.00694
C&A,Apparel,0.06545,0.08331
La Cantina,Restaurant,0.00463,0.00322
Atmosfera Sport,Sports,0.00193,0.00214
Audasa,Transportation,0.00817,0.00701
Toyota (SO),Automotive,0.02056,0.01740
Cajamar Caja Rural,Banking,0.01946,0.02475
Tezenis,Apparel,0.03207,0.03004
Cottet Online,Apparel,0.00766,0.00468
Mustang,Apparel,0.00324,0.00358
Rakuten,E-commerce,0.00514,0.00327
Duty Free Dubai,Retail Stores,0.00205,0.00106
Nails Factory,Beauty,0.00696,0.00697
Top Queens,Nightlife,0.00065,0.00157
Sky,Streaming,0.00429,0.00121
DKV,Healthcare,0.09184,0.11331
Abanca,Financial Services,0.07989,0.08489
La Fonda,Restaurant,0.00448,0.00302
Kreditech,Financial Services,0.01510,0.02080
Orange,Telecom,1.62282,1.68331
Vip Smart,Financial Services,0.00936,0.00815
Aguas de Alicante,Utilities,0.00856,0.01194
Melia,Travel,0.03476,0.02536
Ocaso,Insurance,0.12224,0.21431
Totto,Travel,0.00098,0.00093
Toyota Kreditbank,Financial Services,0.27409,0.19307
BMW Financial Services,Financial Services,0.27819,0.21884
Ryanair,Travel,0.48210,0.45501
Aguas de Barcelona,Utilities,0.11583,0.09850
Cooltra,Transportation,0.00626,0.00419
BBVA Seguros,Insurance,0.21813,0.26991
Netflix,Streaming,0.58102,0.32589
Pilar Prieto,Beauty,0.00140,0.00325
Opticalia,Eyewear,0.01434,0.01716
La Chalana,Restaurant,0.00196,0.00164
Lime,Transportation,0.00233,0.00166
Kinepolis,Entertainment,0.04493,0.02737
Costco Estacion de Servicio,Fuel,0.04768,0.03901
Rip Curl,Apparel,0.00234,0.00244
Pepe Energy,Energy,0.04390,0.03676
Charanga,Restaurant,0.00132,0.00161
Tuc tuc,Children,0.00306,0.00377
Iberdrola,Fuel,1.90149,2.28670
Eroski City,Grocery,0.02919,0.04107
Veritas,Healthcare,0.04165,0.02740
Eje Aeropuerto,Transportation,0.00084,0.00050
Acnur,Non-Profit,0.10555,0.06755
Cines El Punt,Movies,0.00056,0.00088
Apple Store,Electronics,0.33858,0.21305
Drivy,Rental Cars,0.00369,0.00397
Mulaya,Restaurant,0.00673,0.00547
Lucera Energia Colectiva,Energy,0.01791,0.02152
Eurekakids,Retail Stores,0.00693,0.00601
Aumar,Grocery,0.06925,0.06845
