valuedate,revenue
2020-09-10,209507
2020-09-11,171148
2020-09-12,117040
2020-09-13,136768
2020-09-14,214100
2020-09-15,215502
2020-09-16,216980
2020-09-17,197072
2020-09-18,177156
2020-09-19,115159
2020-09-20,126128
2020-09-21,208896
2020-09-22,188034
2020-09-23,218435
2020-09-24,205755
2020-09-25,171400
2020-09-26,108497
2020-09-27,104516
2020-09-28,202963
2020-09-29,210207
2020-09-30,213717
2020-10-01,195812
2020-10-02,176261
2020-10-03,147957
2020-10-04,156125
2020-10-05,236498
2020-10-06,198241
2020-10-07,227145
2020-10-08,201207
2020-10-09,173834
2020-10-10,106141
2020-10-11,105037
2020-10-12,123002
2020-10-13,508722
2020-10-14,471986
2020-10-15,378788
2020-10-16,357160
2020-10-17,225281
2020-10-18,199300
2020-10-19,269718
2020-10-20,247993
2020-10-21,235272
2020-10-22,190022
2020-10-23,157132
2020-10-24,102444
2020-10-25,101284
2020-10-26,183793
2020-10-27,136474
2020-10-28,193238
