valuedate,revenue
2019-03-22,7694
2019-03-23,4863
2019-03-24,4467
2019-03-25,8369
2019-03-26,7522
2019-03-27,7728
2019-03-28,7552
2019-03-29,6261
2019-03-30,5438
2019-03-31,3223
2019-04-01,11835
2019-04-02,9457
2019-04-03,9287
2019-04-04,8035
2019-04-05,8134
2019-04-06,5894
2019-04-07,5685
2019-04-08,9445
2019-04-09,9108
2019-04-10,7874
2019-04-11,6866
2019-04-12,7377
2019-04-13,4694
2019-04-14,4021
2019-04-15,8417
2019-04-16,8090
2019-04-17,6417
2019-04-18,5903
2019-04-19,4677
2019-04-20,6130
2019-04-21,4912
2019-04-22,10122
2019-04-23,8496
2019-04-24,7640
2019-04-25,6378
2019-04-26,6201
2019-04-27,4652
2019-04-28,5271
2019-04-29,8418
2019-04-30,10881
2019-05-01,7212
2019-05-02,12994
2019-05-03,10486
2019-05-04,5320
2019-05-05,5535
2019-05-06,9912
2019-05-07,10509
2019-05-08,7903
2019-05-09,6983
2019-05-10,7440
2019-05-11,4569
2019-05-12,5111
2019-05-13,8534
2019-05-14,8305
2019-05-15,7536
2019-05-16,6435
2019-05-17,5908
2019-05-18,3982
2019-05-19,4841
2019-05-20,9762
2019-05-21,8114
2019-05-22,8289
2019-05-23,6834
2019-05-24,6085
2019-05-25,4651
2019-05-26,3894
2019-05-27,7372
2019-05-28,8708
2019-05-29,7462
2019-05-30,7126
2019-05-31,5321
2019-06-01,6217
2019-06-02,6190
2019-06-03,11482
2019-06-04,7359
2019-06-05,11367
2019-06-06,7719
2019-06-07,7928
2019-06-08,5753
2019-06-09,5002
2019-06-10,9001
2019-06-11,8977
2019-06-12,7896
2019-06-13,6425
2019-06-14,6093
2019-06-15,4421
2019-06-16,4715
2019-06-17,7784
2019-06-18,6857
2019-06-19,6940
2019-06-20,8510
2019-06-21,6757
2019-06-22,5708
2019-06-23,4922
2019-06-24,8606
2019-06-25,8658
2019-06-26,6473
2019-06-27,6627
2019-06-28,7236
2019-06-29,4677
2019-06-30,6580
2019-07-01,13094
2019-07-02,11848
2019-07-03,10280
2019-07-04,8560
2019-07-05,8389
2019-07-06,5729
2019-07-07,6060
2019-07-08,9830
2019-07-09,9641
2019-07-10,8106
2019-07-11,7659
2019-07-12,7547
2019-07-13,4097
2019-07-14,4524
2019-07-15,8316
2019-07-16,7789
2019-07-17,6581
2019-07-18,5977
2019-07-19,7372
2019-07-20,6372
2019-07-21,5293
2019-07-22,8826
2019-07-23,10032
2019-07-24,7042
2019-07-25,6662
2019-07-26,6328
2019-07-27,4801
2019-07-28,5803
2019-07-29,7831
2019-07-30,8934
2019-07-31,5027
2019-08-01,11474
2019-08-02,8312
2019-08-03,6629
2019-08-04,5903
2019-08-05,11110
2019-08-06,10241
2019-08-07,9890
2019-08-08,7850
2019-08-09,7913
2019-08-10,5398
2019-08-11,5210
2019-08-12,10058
2019-08-13,8922
2019-08-14,7483
2019-08-15,5025
2019-08-16,8474
2019-08-17,4794
2019-08-18,4540
2019-08-19,9012
2019-08-20,10405
2019-08-21,7790
2019-08-22,8049
2019-08-23,7615
2019-08-24,4832
2019-08-25,5144
2019-08-26,8783
2019-08-27,8524
2019-08-28,8345
2019-08-29,6531
2019-08-30,8178
2019-08-31,4273
2019-09-01,7209
2019-09-02,11896
2019-09-03,10831
2019-09-04,10225
2019-09-05,9487
2019-09-06,8995
2019-09-07,6568
2019-09-08,6262
2019-09-09,10481
2019-09-10,10574
2019-09-11,8284
2019-09-12,8794
2019-09-13,7560
2019-09-14,5062
2019-09-15,5001
2019-09-16,9857
2019-09-17,8538
2019-09-18,7165
2019-09-19,7451
2019-09-20,9415
2019-09-21,5531
2019-09-22,6211
2019-09-23,9646
2019-09-24,9551
2019-09-25,7918
2019-09-26,7078
2019-09-27,7564
2019-09-28,6191
2019-09-29,5371
2019-09-30,12228
2019-10-01,13339
2019-10-02,11607
2019-10-03,10172
2019-10-04,9685
2019-10-05,6701
2019-10-06,6296
2019-10-07,11282
2019-10-08,10357
2019-10-09,8499
2019-10-10,8787
2019-10-11,7521
2019-10-12,6117
2019-10-13,4982
2019-10-14,9224
2019-10-15,8833
2019-10-16,7943
2019-10-17,6473
2019-10-18,6674
2019-10-19,5938
2019-10-20,6369
2019-10-21,9536
2019-10-22,7363
2019-10-23,9755
2019-10-24,8230
2019-10-25,6693
2019-10-26,5607
2019-10-27,5088
2019-10-28,9323
2019-10-29,8901
2019-10-30,8543
2019-10-31,6010
2019-11-01,8797
2019-11-02,6465
2019-11-03,6798
2019-11-04,13746
2019-11-05,12194
2019-11-06,9262
2019-11-07,8272
2019-11-08,8963
2019-11-09,5599
2019-11-10,5973
2019-11-11,9967
2019-11-12,10414
2019-11-13,7654
2019-11-14,7190
2019-11-15,7053
2019-11-16,5454
2019-11-17,5002
2019-11-18,7919
2019-11-19,9583
2019-11-20,9162
2019-11-21,7967
2019-11-22,8492
2019-11-23,5699
2019-11-24,4707
2019-11-25,9475
2019-11-26,8529
2019-11-27,8136
2019-11-28,8161
2019-11-29,7129
2019-11-30,8259
2019-12-01,7904
2019-12-02,13491
2019-12-03,11568
2019-12-04,11317
2019-12-05,10279
2019-12-06,6713
2019-12-07,6251
2019-12-08,6359
2019-12-09,12579
2019-12-10,10342
2019-12-11,8539
2019-12-12,8965
2019-12-13,7356
2019-12-14,5417
